timestamp,x,y,theta,vx,vy,omega,leftVel,rightVel,imuYaw,gyroZ,accelX,accelY
4158617967,0,0,-1.46011,0,0,-0.057094,0,0,276.38,-0.06,-0.04,-0.07
4158618167,0,0,-1.45904,0,0,0.00622197,0,0,276.38,0,-0.05,-0.05
4158618368,0,0,-1.45965,0,0,0.0395708,0,0,276.38,0.06,-0.04,-0.04
4158618559,0,0,-1.45992,0,0,0.00390251,0,0,276.38,0,-0.04,-0.05
4158618760,0,0,-1.45941,0,0,0.0645872,0,0,276.38,0.13,-0.03,-0.06
4158618960,0,0,-1.46024,0,0,-0.0851002,0,0,276.38,-0.13,-0.04,-0.06
4158619151,0,0,-1.46009,0,0,0.0364461,0,0,276.38,0.06,-0.04,-0.06
4158619352,0,0,-1.45937,0,0,0.042493,0,0,276.38,0.06,-0.04,-0.05
4158619552,0,0,-1.45799,0,0,0.0651132,0,0,276.38,0.06,-0.03,-0.06
4158619752,0,0,-1.45929,0,0,0.0198895,0,0,276.38,0,-0.05,-0.05
4158619933,0,0,-1.45875,0,0,-0.00804064,0,0,276.38,0,-0.05,-0.05
4158620134,0,0,-1.45934,0,0,0.0228226,0,0,276.38,0,-0.04,-0.06
4158620337,0,0,-1.45903,0,0,0.0245689,0,0,276.38,0.06,-0.03,-0.05
4158620539,0,0,-1.45875,0,0,0.00104535,0,0,276.38,0,-0.03,-0.07
4158620739,0,0,-1.45799,0,0,0.0542703,0,0,276.38,0.06,-0.05,-0.05
4158620931,0,0,-1.45938,0,0,-0.0390289,0,0,276.38,-0.06,-0.05,-0.05
4158621132,0,0,-1.45795,0,0,0.00789161,0,0,276.38,-0.06,-0.04,-0.07
4158621333,0,0,-1.45885,0,0,0.0283594,0,0,276.38,0.06,-0.06,-0.06
4158621522,0,0,-1.45921,0,0,-0.0823818,0,0,276.38,-0.19,-0.03,-0.04
4158621723,0,0,-1.45789,0,0,0.0305574,0,0,276.38,0.06,-0.04,-0.05
4158621923,0,0,-1.4595,0,0,-0.0889867,0,0,276.38,-0.13,-0.04,-0.08
4158622124,0,0,-1.45905,0,0,0.0172345,0,0,276.38,0,-0.03,-0.05
4158622324,0,0,-1.4585,0,0,0.0402192,0,0,276.38,0,-0.05,-0.03
4158622526,0,0,-1.45982,0,0,-0.022975,0,0,276.38,0,-0.04,-0.04
4158622736,0,0,-1.45858,0,0,-0.00996629,0,0,276.38,0,-0.03,-0.06
4158622930,0,0,-1.45815,0,0,0.0511338,0,0,276.38,0.06,-0.04,-0.06
4158623132,0,0,-1.45942,0,0,-0.032113,0,0,276.38,0,-0.02,-0.06
4158623334,0,0,-1.46139,0,0,-0.103799,0,0,276.38,-0.13,-0.04,-0.06
4158623533,0,0,-1.45953,0,0,-0.0408466,0,0,276.38,-0.06,-0.03,-0.06
4158623743,0,0,-1.46003,0,0,-0.0389275,0,0,276.38,-0.06,-0.05,-0.06
4158623944,0,0,-1.45921,0,0,0.0223737,0,0,276.38,0.06,-0.01,-0.05
4158624144,0,0,-1.45632,0,0,0.112333,0,0,276.38,0,-0.04,-0.06
4158624347,0,0,-1.4585,0,0,0.0371418,0,0,276.38,0,-0.03,-0.04
4158624546,0,0,-1.45868,0,0,0.0336896,0,0,276.38,0,-0.03,-0.07
4158624736,0,0,-1.4596,0,0,0.0270537,0,0,276.38,0.06,-0.04,-0.08
4158624938,0,0,-1.45738,0,0,0.0788211,0,0,276.38,0,-0.02,-0.06
4158625148,0,0,-1.45979,0,0,-0.0272352,0,0,276.38,0,-0.04,-0.07
4158625350,0,0,-1.45947,0,0,-0.00377325,0,0,276.38,0,-0.04,-0.05
4158625552,0,0,-1.45966,0,0,0.0375829,0,0,276.38,0.06,-0.03,-0.05
4158625754,0,0,-1.45761,0,0,0.0572873,0,0,276.38,0.06,-0.02,-0.06
4158625965,0,0,-1.45848,0,0,0.0482312,0,0,276.38,0.06,-0.03,-0.06
4158626155,0,0,-1.45745,0,0,-0.00221661,0,0,276.38,-0.06,-0.05,-0.07
4158626356,0,0,-1.45799,0,0,0.003571,0,0,276.38,0,-0.03,-0.05
4158626547,0,0,-1.45958,0,0,0.0819367,0,0,276.38,0.13,-0.03,-0.05
4158626737,0,0,-1.45773,0,0,0.0880633,0,0,276.38,0.13,-0.03,-0.08
4158626948,0,0,-1.45905,0,0,0.0224511,0,0,276.38,0.06,-0.03,-0.04
4158627148,0,0,-1.46015,0,0,-0.056739,0,0,276.38,-0.06,-0.02,-0.06
